question,topic
Which state are you from React with your state famous food,Food and Drinks
Which of the place is pleasant for making vibes,Random
Youre from which state in India,Random
Whats your aria,Random
Do the solo travellers have plans this year If so when and where,Travel and Geography
Where do you live,Random
Whats your dream travel destination,Travel and Geography
Hav u ever been to vrindavan its not a place A vibe Writing from there,Travel and Geography
Which country are you from im HunchLets see the numbers,Random
Whats ur favorite country,Travel and Geography
Would you rather have a home on the beach or in the mountains,Random
Burj khalifa is tallest building in the world,Travel and Geography
Chal waha Jaate Hain jaha instaSnap aur Hunch Ki Bakchdiya na Ho,random
Do you believe in the concept of finding yourself through travel,Random
Best state in India And y its best,Random
Where was Your best trip at,Travel and Geography
EVER TRAVELLED BY BUS,Travel and Geography
One of the closest places to my heart Can you guess it,Random
Answer,Random
Beach or Mountain,Travel and Geography
Whats Youre Dream Country And State,random
Which country do you want to go,Random
if not IndiaBharat where would you like to be born,random
If you want to go alone outside Which places do u prefer,Travel and Geography
Whats your ideal vacation destination,Travel and Geography
Ever slept by standing while travelling in bus,Random
Your dream destination,Travel and Geography
is there any place you wanna go where it would be,Random
What is your dream place to go and travel,Travel and Geography
Which place you will prefer to go on vacations,Travel and Geography
About punjab,Travel and Geography
Guess the place,Random
anyone else Alaskan Native,Random
Tell the best place name you want to go in you life,Random
Long drive,Travel and Geography
Your Favourite holiday destination,Travel and Geography
Good morning at Goa Rate me out of one hundred,Travel and Geography
Chale kahi pahado pe ghumne,Travel and Geography
Anyone wanted to explore places in kolkata historic walks fun stuffs,Travel and Geography
Which is the poorest country in the world,Random
Whats your opinion on Maldives vs INDIA situation,Random
What is on your bucket list,Random
Which one is best,Random
Im in Nepal rn Kuchh mangana h toh bol do,Random
Best metro service,Random
WHAT DO U USE FOR COMMUTING when you dont have vehicle,Random
Which city are you from Also whats so special about your city,Random
Do you think India is developing,Random
India has effiel tower in ever one km Dont u agree,Random
If there was a capital country of the world which country would it be,Random
Where would you rather live,Random
Which countries people are sweetest,Random
What do you think foreners are not safe in India,Random
Favorite place,Random
What are your summer vacations plans,Travel and Geography
Do you like,Random
Anyone from Uttarakhand Need a chill person to hangouttraveltrek with,Travel and Geography
Favorite vacation spot,Travel and Geography
Which part of india you like the most,Travel and Geography
Which is your best go to place in North India,Travel and Geography
Tell ur place name I will say something special about it,Random
What do you think of Rajasthani ppl,Random
What is the first thing you will do in two thousand and twenty-four,Random
Where are you from,Random
Any song that you feel is quite underrated,Music
Your favourite song,Music
Best Outlast song,Music
how many of you tried to write a song,Music
Anyone who likes both kpop and anime,Music
Can we exchange our Spotify playlist,Music
Your opinion about brown girl music,Music
Who is world wide handsome,Random
Enrique Iglesias anybody,random
Girls name a song with which u want to vibe in,Music
Who do u think is better,Random
Idk but dheere dheere bol koi sun na le,Music
Just me or anyone else currently vibing to karimani maalika neenalla,Music
Ramathl,Random
What do you prefer with Late night lofi songs,Music
Do you guys listen his songs,Music
Which One is Better,Random
which sad bgm do u relate the most,Music
New Classic Songs Suggestion For You all,Music
TAYLOR SWIFT IS A VIBE,Music
I believe Taylor Swifts songs are not that good Prove me wrong,Music
Best rapper,Music
Are there people from India who love death metal,Music
comment your fvrt lines from your fvrt songs,Music
nan,Technology and Internet
Whats your fav song,Music
Vivad no sixteen which is best,Random
Best rapper in dhh,Music
Do you like rap song And whom you like to here,Music
Kyu khudko me barbaad kru fana hoke tujhse milu ishq ka alg h qaida,Music
Do you listen to OLD SONGS Kishore Kumar Lata jietc,music
Ap kiske fan ho,Random
Pick a genre,Random
I finally found my spirit animal,Random
Nigga,Random
Best Indian EDM Music Producer,Music
Le me sending random lyrics on the server,Music
Your Current fav Song,Music
Is there anyone who listens to the bombaychoir,Music
Late night music recommendations from me,Music
Who is your favorite bhojapuri singer,Music
Your Favourite Avicii song I miss him RIP,Music
Kabhi bts ke gana suna hai,Music
Your favourite singer,Random
Loud music for blasting while cleaning my room,Music
Why do you listen music,Random
Me Radioactive itll blow up the speaker,Music
heard a song ek baap ki hogi toh humko pehle dogi,Music
What do you do in your boredom tell me anything,Random
Weeknd ke gaane sunte ho,Music
Wo Noor ka jharna hai ma pyaas purani,Music
Is Arjit Singh the best singer in the last twenty years,Music
Kahi dur jab din dhal jaaye,Music
Whats your favourite album,Music
Hai,Random
To guys bolne ki jrurt nahi khud batado Kon kiska fan h tagda,Random
Do you listen to BTS songs If yes whats youre opinion on haters,Music
Write incomplete lyrics strangers will complete it,Music
Anybody who uses SoundCloud,Music
I play guitar and sing too Does that add as a plus point GIRLS ONLY,Music
Chalo Antakshri khelte hai,Music
Which genre of music resonates with you the most,Music
Favv singer,music
If I said I write songs would you hear me sing them all night long,Music
Nothings new,Random
what do you think hes listening to,Random
Itne chaatein marunga itne chaatein marunga,Random
nan,random
JADO SAD HONDE KIDA SONG SUNDE OO TUSI,Random
If you know these songs your music taste is,Music
Who is the greatest singer,Music
Which is your favourite song,Music
Any musical instrument you played or still playing,Music
What should I wear to a taylor swift event,Random
Soare you a carat,Random
Whose songs make ur day a little better Mohit Chauhan or Papon,Music
I can play your guitar,Music
Is there any hustle fan,Random
Comment your favorite kpop songs from A to Z,Music
Comment your favourite lyrics,Music
Anyone up for hearing my song,Music
Hum tere bin ab reh nhi sakte,Music
Who is ur fav,Random
Bichad ke fir milenge Yaken kitna tha Khaab hi tha Magar hasen kitna tha,Music
any girly pop wanna gn,Random
twelve,Random
Reach churaayi meri Kisne o sanam,Music
Tune jo na kaha,Music
Badshah vs honey Singh,Music
Do you think ang laga de from Ramleela is a beautiful song,Music
Me after dancing on energetic songs for straight two hours,Random
BTS or Taylor Swift,Music
Konsa song prefer kroge,Music
nan,Random
How many songs have you heard in ur life,Music
You favorites singer,Music
Headphone suggest kardo aukad ke andar,Random
Any KK fan,Music
Sidhu moose wala ya Taylor swift,Music
My polls hitting the right people rn,Random
BJP KITNI SEAT JEET SAKTI HAI,Random
Pick one app you cant live without,Technology and Internet
What did you think about two thousand and twenty-four how will be PM,Random
Science or maths,Random
What was the last song you listened to,Music
Do you support Farmers Protest nofarmernofood,Random
Anyone in the media field,Random
Bjp or congress,Random
Age Group Voting please hunch nd cmt below same age group will be friend,Random
What do you already have that you are here to do timepass on Hunch,Technology and Internet
Follow for follow back,Random
The audacity to be toxic online and a scared cat in real Lol,Random
Which face wash do you use,Random
Poll Poll Poll Poll Poll Poll Poll Poll Poll Poll Poll Poll Poll Poll,Random
None of the above,Random
Bhejo Content Khatam,Technology and Internet
Unknown,Random
Any tips for remembering chemical reactions,Random
RANDOM CHAT,Random
Mock elections,Random
Aaya mosam voting karne ka Will you vote,Random
Which one is easy to prepare and pass,Random
Who love mathss,Random
What is better,Random
Mera display dekhke kis politician ki yaad aati,Random
Borr horhi entertainment chaiye tha,Random
Tumhe kya lagta hai ye duniya kaisi hai,Random
Who will u vote,Random
How do you help the family with the work,Random
Which sub,Random
two thousand and twenty-nine क चनव म परधन मतर क रप म कसक दखन चहत ह,Random
"rachitssix thousand, two hundred and sixty-three ko vote do sabhi MrHunch bana do Rashogolla milega",Random
Who is going to win the election,Random
your thoughts on Modi Meloni reels,Random
Who would you like as Prime Minister of India in two thousand and twenty-four,Random
guess the car,Random
"Insta group join kroge age one thousand, five hundred and twenty",Technology and Internet
Who is the next priminister of India,Random
Thoughts,Random
Is Amit Shah in the stadium or still in the booking queue,Random
How small is a nucleus to an atom,Random
Jee coaching online or offline Which is better,Random
How many wars have India and Pakistan fought since partition,Random
I want to sell my ghar in just rupees seventeen lakh can anyone want to buy,Random
Mei alpha creator bann gya,Random
Family Problems broke us,Random
If the maths was the only subject in the world whould you hate or love i,Random
What happens if you burn a diamond,Random
whats your favourite car,Random
Ok guys genuine question What will pick among these,Random
I imagine you in every empty sit I sit beside,Random
Give follow i ll follow back,Technology and Internet
Whats your fav,Random
Lets see tenths toppers Your score,Random
sevenxseven hundred and seven x,Random
ten me konsa difficult hoga,Random
Lets play follow and follow back,Random
Abki bar modi sarkar,Random
The indian parents that send their boys abroad r setting them up for hell,Random
Guys its time now,Random
Hello guyzz,Random
Sad,Random
Truth or dare,Random
Would yall cop this supercharger pontiac bonneville,Random
Ngl,Technology and Internet
Poll,Random
Rajasthan Jane apko kab qa dikh Jaye Kismat Wale log,Random
Question for all,Random
Whos in for Napoleon,Random
How cold is it at your place,Random
About Rahul ghandi,Random
Whos coming in two thousand and twenty-four,Random
fav class,Random
Is bar kiski Sarkar,Random
Politics me kon kon intrested hai,Random
Konsa subject jyada Hard hai,Random
Wts the dirtiest sexual fntsy tht u alwys hv but dnt hv the courage two try,Law and Order
ONLY FOR BOYS FAVORITE PNSTAR,Random
Kya opinion hai,Random
WIN IN ELECTION IN two thousand and twenty-four IN BHARAT,Random
Do you have interest in businessDo you like to open startup business,Random
Is it possible to boil water at room temperature science winter,Random
Indian is two thousand and twenty-four in prime minister,Random
Best p sites,Random
Aaj ki kya line,Random
Who will you vote for in Loksabha Elections two thousand and twenty-four,Random
Who was the first to take Berlin in World War II,Random
Sir pe bomb maroge to phle Keye fatega created by TapuKePapa,Random
Fav shark on shark tank India,Random
Online Hona Abhi Bhi Ya Loodak Gaye,Random
Who all thinks Nitish Kumar is one of the smartest politician,Random
Mathematics Question,Random
Vote karo,Random
I want to become no one on hunch lets support me everyone,Technology and Internet
Whats your zodiac sign,Random
Abki baar four hundred paarYes or No,Random
Can someone remove my loneliness Please polite,Random
